slug,Відповідальна особа,Категорія,Підкатегорія,товари,price,name,type,description,quantity,sold,global_rating(0-5),discount,not used
slug_021,,,термокружки,https://rozetka.com.ua/ua/tefal_k3081114/p21603373/,900,Термокухоль Tefal Travel Mug,Термокружка,"Компанія Tefal — провідний виробник посуду з антипригарним покриттям і світовий лідер з виробництва скороварок, кухонних електроприладів, приладів з приготування їжі та напоїв, прасок і ваг. Tefal прагне до розуміння потреб споживачів і постійного внесення інноваційних рішень. В історії компанії Tefal простежуються яскраві сторінки винахідницьких та інноваційних ідей світового масштабу.
Термокухоль Tefal Travel Mug стане в пригоді в будь-якій ситуації, оскільки здатен підтримувати температуру напою довше за будь-яку чашку, і слугуватиме вам для будь-яких напоїв. Це ідеальне рішення для великого міста, надійний помічник у дорозі.
Термокухоль виготовлено з високоякісної неіржавкої сталі 18/10 із силіконовим покриттям Soft Touch, вакуумна колба з неіржавкої сталі надовго збереже температуру вашого напою. Висока температура триматиметься до 4 годин, низька — до 8 годин.
Термокухоль щільно закривається кришкою із силіконовим ущільнювачем, забезпечуючи 100% герметичність, тож його можна вільно перевертати й класти набік, ставити на сидіння автомобіля або в сумку.
У кришці термокухля є кнопка, яка відкриває отвір для пиття. Це запобігає вихлюпуванню рідини й дає змогу використовувати кухоль навіть під час поїздок в автомобілі.
Форма й розміри термокухля ідеально підходять для будь-якого підсклянника вашого автомобіля.
Годиться для миття в посудомийній машині.",0,8,2,,
slug_022,,,ланч бокси,https://rozetka.com.ua/ua/noveen_070846/p355499763/,1869,Ланч-бокс Noveen,Ланч бокс,"Ланч-бокс Noveen LB510 – ідеальний варіант, щоб взяти їжу з собою, для тих, хто цінує здоровий спосіб життя. Стильний зовнішній вигляд, зроблений з якісних матеріалів, внутрішня частина виготовлена зі сталі INOX. Ланч-бокс швидко та якісно розігріє ваші страви, завдяки вбудованому нагрівальному РТС елементу, який здатен розігріти їжу 60 °C за 20 хвилин. А щільна кришечка допоможе зберегти температуру та свіжість ваших страв. Контейнер складається з 3-х відділень, його можна мити у посудомийній машині. Це ідеальний варіант, щоб взяти їжу з собою в дорогу, бо завдяки додатковому блоку живлення на 12 В, страви можна розігрівати в машині.",6,47,4,,
slug_023,,,ланч бокси,https://rozetka.com.ua/ua/377122419/p377122419/,250,Ланч-бокс Turtle,Ланч бокс,"Дитячий ланч-бокс у вигляді черепахи – це чудовий вибір для батьків, які хочуть забезпечити своїх дітей здоровим та смачним харчуванням під час шкільного обіду чи поїздки. Цей ланч-бокс має унікальний та привабливий дизайн у вигляді черепахи, який напевно сподобається дітям. Він має два рівні, що дозволяє розмістити різні страви в одному контейнері та не змішувати їх. Кожен рівень ланч-боксу оснащений кришкою, яка щільно закривається, щоб зберегти свіжість та смак страв. Крім того, ланч-бокс поставляється з ложкою, що робить його зручним та практичним у використанні. Цей ланч-бокс виготовлений із безпечних для дітей матеріалів, таких як пластик, та легко миється. Він також досить компактний, щоб поміститися в рюкзак або сумку для перенесення. Цей ланч-бокс у вигляді черепахи - чудовий вибір для батьків, які хочуть запропонувати своїм дітям смачне та здорове харчування під час обіду у школі чи поїздці.",2,1,3,,
slug_024,,,ланч бокси,https://rozetka.com.ua/ua/384217770/p384217770/,230,"Ланч-бокс подвійний Эко ""Lunch box""",Ланч бокс,"Еко ланч-бокс на 750 мл з двома рівнями, ложкою та виделкою є ідеальним способом зберігання вашого обіду, одночасно піклуючись про навколишнє середовище. Цей ланч-бокс виготовлений з додаванням безпечної біорозкладної сировини, що включає перероблені волокна пшениці, солому та рис, що дозволяє йому бути екологічною альтернативою традиційним пластиковим контейнерам. Завдяки ємності на 750 мл, у вас є достатньо місця для вашого улюбленого обіду, закусок та фруктів. Дворівнева конструкція дозволяє зберігати різні види їжі окремо, щоб запобігти змішуванню запахів та зберегти їх свіжість. Цей еко ланч-бокс постачається з екологічною ложкою та виделкою, що додатково підсилюють його екологічний вплив. Вони виготовлені з біорозкладного пластику, що забезпечує їх безпечність та природності. Використання таких приборів допомагає зменшити споживання одноразових пластикових виробів та сприяє збереженню природних ресурсів. Крім екологічних переваг, цей ланч-бокс має сучасний дизайн та стійкість. Він зручно вміщується у вашу сумку, рюкзак або робочу сумку, забезпечуючи зручне перенесення та зберігання. Можете бути спокійні, знаючи, що ваш ланч не тільки збереже його свіжість, але й внесе свій внесок у збереження довкілля. Оберіть еко ланч-бокс на 750 мл з двома рівнями, ложкою та виделкою еко пластику і зробіть свій обід не тільки смачним, але й екологічно збалансованим.",15,1,2,,
slug_025,,,пляшки для води,https://rozetka.com.ua/ua/uzspace_6955482371008/p72510921/,599,Фляга для води Uzspace Frosted,Пляшка для води,"Пляшка для води Kite — виготовлена з тритану. Тритан — надійний, міцний, безпечний пластик без запаху та смаку. Не такий крихкий, як скло, але легкий і прозорий матеріал. Пляшечки слугуватимуть довго та збережуть свій первинний вигляд. Вироби з тритану не містять бісфенолу А (він небезпечний через те, що під час нагрівання або тривалого зберігання харчових продуктів у посуді, переходить із пластику в їжу та має негативний вплив на здоров'я), можуть витримувати температуру до 90 °C. Пляшка безпечна для здоров'я. Пляшки мають оригінальний, стильний і зручний дизайн. Їх також можна мити в посудомийній машині.",14,45,2,,
slug_026,,,пляшки для води,https://rozetka.com.ua/ua/kite_k22_400_02/p353783883/,251,Пляшечка для води Kite,Пляшка для води,"Пляшка для води Kite — виготовлена з тритану. Тритан — надійний, міцний, безпечний пластик без запаху та смаку. Не такий крихкий, як скло, але легкий і прозорий матеріал. Пляшечки слугуватимуть довго та збережуть свій первинний вигляд. Вироби з тритану не містять бісфенолу А (він небезпечний через те, що під час нагрівання або тривалого зберігання харчових продуктів у посуді, переходить із пластику в їжу та має негативний вплив на здоров'я), можуть витримувати температуру до 90 °C. Пляшка безпечна для здоров'я. Пляшки мають оригінальний, стильний і зручний дизайн. Їх також можна мити в посудомийній машині.",19,12,1,,
slug_027,,,пляшки для води,https://rozetka.com.ua/ua/casno_kxn_1183_pink/p250629246/,290,Пляшка для води Casno,Пляшка для води,"Casno — пляшка для води, виготовлена з якісного Р7 поліефірного пластику, вона не має стороннього запаху, зручна у використанні, не шкідлива для здоров'я. Вона ідеально підходить для піших прогулянок, їзди на велосипеді, для кемпінгу, трекінгу, бігу, йоги й будь-яких інших видів спорту будинку, у тренажерному залі та в офісі. Ця пляшка — ідеальний вибір для подарунка! Чудові якості матеріалу та неймовірний вибір кольорів не залишать байдужим жодного споживача! Мірне маркування й широке горло дає змогу використовувати пляшку як шейкер для спортивного харчування!",19,4,1,,
slug_028,Ілона,Їжа,цукерки,https://kashalot.gift/ua/boby-berti-botts-garri-potter/,260,Боби Берті Бот / Bertie Bott's Beans,Цукерки,"Цукерки «Боби Берті Бот» (Bertie Bott's Every Flavour Beans) у коробочці боби з різними смаками (одна упаковка, 34 г).
Всього 20 смаків: банан, чорний перець, чорниця, комашки, цукрова вата, вишня, кориця, бруд, черв'як, вушна сірка, трава, зелене яблуко, зефір, тухле яйце, ковбаса, лимон, мило, тутті-Фрутті, блювота і кавун .",16,7,0,,
slug_029,,,цукерки,https://kashalot.gift/ua/konfetki-v-stile-adventure-time/,80,Час пригод,Цукерки,"Цукерки від принцеси Бубльгум (горішки в глазурі), для поповнення супергеройських сил.",1,26,4,,
slug_030,,,цукерки,https://kashalot.gift/ua/tsukerky-spell-iz-solonoiu-karamelliu-solodki-suveniry-ta-atrybutyka-podarunok-na-den-narodzhennia-ta-novyi-rik/,140,Цукерки Spell із солоною карамеллю,Цукерки,"Колекція авторських цукерок з солоною карамеллю.
Цукерки ручної роботи, виконані з бельгійського шоколаду. Вага: 160 г.",19,20,2,,
